Host Name,IP Address,Reply IP Address,Succeed Count,Failed Count,Consecutive Failed Count,Max Consecutive Failed Count,Max Consecutive Failed Time,% Failed,Total Sent Pings,Last Ping Status,Last Ping Time,Last Ping TTL,Average Ping Time,Description,Last Succeed On,Last Failed On,Minimum Ping Time,Maximum Ping Time,Order
MSK-DC01,10.194.4.3,10.194.4.3,1,0,,,,0%,1,Succeeded,0,128,0,,2021-10-20 5:06:05 PM,,0,0,2
MSK-SCCM01,10.194.4.135,10.194.4.135,1,0,,,,0%,1,Succeeded,0,128,0,,2021-10-20 5:06:05 PM,,0,0,5
MSK401777WS,,,0,0,,,,,1,,,,,,,,0,0,1
MSKHTTPPROXY01,,,0,1,1,1,2021-10-20 5:06:08 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:06:08 PM,0,0,3
MSKPUPPET01,,,0,1,1,1,2021-10-20 5:06:08 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:06:08 PM,0,0,4
MSKSMTPRELAY01,,,0,1,1,1,2021-10-20 5:06:08 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:06:08 PM,0,0,6
MSKTACACS01,,,0,1,1,1,2021-10-20 5:06:08 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:06:08 PM,0,0,7
MSKXNETMON01,,,0,0,,,,,1,,,,,,,,0,0,8
MWE1AZURE45001,10.9.82.154,,0,1,1,1,2021-10-20 5:06:06 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:06:06 PM,0,0,9
MWE1BALINBE5001,10.9.5.10,,0,1,1,1,2021-10-20 5:06:06 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:06:06 PM,0,0,10
MWE1BITB1001,,,0,1,1,1,2021-10-20 5:06:08 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:06:08 PM,0,0,11
MWE1BM5001,10.9.1.56,,0,1,1,1,2021-10-20 5:06:06 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:06:06 PM,0,0,12
MWE1CONFLU1002,,,0,1,1,1,2021-10-20 5:06:08 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:06:08 PM,0,0,13
MWE1EAZYBI1002,,,0,1,1,1,2021-10-20 5:06:08 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:06:08 PM,0,0,14
MWE1JIRA1002,,,0,1,1,1,2021-10-20 5:06:08 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:06:08 PM,0,0,15
MWE1LINDNS5001,10.9.97.9,,0,1,1,1,2021-10-20 5:06:06 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:06:06 PM,0,0,16
MWE1LINDNS5002,10.9.97.10,,0,1,1,1,2021-10-20 5:06:06 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:06:06 PM,0,0,17
MWE1LINPPS5001,10.9.97.75,,0,1,1,1,2021-10-20 5:06:06 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:06:06 PM,0,0,18
MWE1O3655001,10.9.82.55,,0,1,1,1,2021-10-20 5:06:06 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:06:06 PM,0,0,19
MWE1OASKIN5001,10.9.6.5,,0,1,1,1,2021-10-20 5:06:06 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:06:06 PM,0,0,20
MWE1ODINDC1202,10.161.0.6,,0,1,1,1,2021-10-20 5:06:06 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:06:06 PM,0,0,21
MWE1SONARQ1001,,,0,1,1,1,2021-10-20 5:06:08 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:06:08 PM,0,0,22
MWE1STORE5001,10.9.1.55,,0,1,1,1,2021-10-20 5:06:06 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:06:06 PM,0,0,23
NSK410162NB,,,0,0,,,,,1,,,,,,,,0,0,24
pavellesc,,,0,0,,,,,1,,,,,,,,0,0,25
rlapteva,,,0,0,,,,,1,,,,,,,,0,0,26
sccm-cloudcorp,,,0,0,,,,,1,,,,,,,,0,0,27
